,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,ref,date
111,Nigeria,70,+5,1.0,,3.0,66,,0.3,0.0,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
112,Honduras,68,+1,1.0,,,67,4.0,7.0,0.1,Mar 10,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
113,Trinidad and Tobago,66,+1,2.0,+1,1.0,63,,47.0,1.0,Mar 11,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
114,Bolivia,61,,,,,61,,5.0,,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
115,Kyrgyzstan,58,+14,,,,58,,9.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
116,Liechtenstein,56,,,,,56,,1469.0,,Mar 02,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
117,Gibraltar,55,+20,,,14.0,41,,1632.0,,Mar 02,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
118,Rwanda,54,+4,,,,54,,4.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
119,Paraguay,52,+11,3.0,,1.0,48,1.0,7.0,0.4,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
120,DRC,51,,3.0,,2.0,46,,0.6,0.03,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
121,Mayotte,50,+14,,,,50,,183.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
122,Bangladesh,48,+4,5.0,,11.0,32,1.0,0.3,0.03,Mar 07,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
123,Monaco,42,+9,,,1.0,41,,1070.0,,Feb 27,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
124,Macao,34,+1,,,10.0,24,,52.0,,Jan 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
125,Aruba,33,+5,,,1.0,32,,309.0,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
126,Kenya,31,,1.0,,1.0,29,2.0,0.6,0.02,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
127,French Polynesia,30,,,,,30,,107.0,,Mar 10,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
128,Isle of Man,29,+3,,,,29,,341.0,,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
129,Guatemala,28,+3,1.0,,4.0,23,1.0,2.0,0.06,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
130,French Guiana,28,,,,6.0,22,,94.0,,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
131,Jamaica,26,,1.0,,2.0,23,,9.0,0.3,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
132,Barbados,26,+2,,,,26,,90.0,,Mar 16,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
133,Madagascar,26,+3,,,,26,,0.9,,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
134,Togo,25,+1,1.0,+1,1.0,23,,3.0,0.1,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
135,Uganda,23,+9,,,,23,,0.5,,Mar 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
136,Zambia,22,+6,,,,22,,1.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
137,Bermuda,17,+2,,,2.0,15,,273.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
138,Ethiopia,16,+4,,,,16,,0.1,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
139,Maldives,16,+3,,,9.0,7,,30.0,,Mar 06,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
